LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
DEU,QGDP,TOT,PC_CHGPY,Q,1961-Q1,7.450289556
DEU,QGDP,TOT,PC_CHGPY,Q,1961-Q2,5.00209888
DEU,QGDP,TOT,PC_CHGPY,Q,1961-Q3,3.576950295
DEU,QGDP,TOT,PC_CHGPY,Q,1961-Q4,2.996160574
DEU,QGDP,TOT,PC_CHGPY,Q,1962-Q1,3.466854108
DEU,QGDP,TOT,PC_CHGPY,Q,1962-Q2,5.112241186
DEU,QGDP,TOT,PC_CHGPY,Q,1962-Q3,5.465212346
DEU,QGDP,TOT,PC_CHGPY,Q,1962-Q4,4.759933392
DEU,QGDP,TOT,PC_CHGPY,Q,1963-Q1,-0.372460846
DEU,QGDP,TOT,PC_CHGPY,Q,1963-Q2,3.02141052
DEU,QGDP,TOT,PC_CHGPY,Q,1963-Q3,4.102017033
DEU,QGDP,TOT,PC_CHGPY,Q,1963-Q4,4.832455357
DEU,QGDP,TOT,PC_CHGPY,Q,1964-Q1,10.1271284
DEU,QGDP,TOT,PC_CHGPY,Q,1964-Q2,6.688292601
DEU,QGDP,TOT,PC_CHGPY,Q,1964-Q3,4.182533938
DEU,QGDP,TOT,PC_CHGPY,Q,1964-Q4,5.091160602
DEU,QGDP,TOT,PC_CHGPY,Q,1965-Q1,5.361369982
DEU,QGDP,TOT,PC_CHGPY,Q,1965-Q2,5.732236512
DEU,QGDP,TOT,PC_CHGPY,Q,1965-Q3,5.341682654
DEU,QGDP,TOT,PC_CHGPY,Q,1965-Q4,4.549872774
DEU,QGDP,TOT,PC_CHGPY,Q,1966-Q1,4.73437015
DEU,QGDP,TOT,PC_CHGPY,Q,1966-Q2,3.424303762
DEU,QGDP,TOT,PC_CHGPY,Q,1966-Q3,2.866220447
DEU,QGDP,TOT,PC_CHGPY,Q,1966-Q4,0.657536009
DEU,QGDP,TOT,PC_CHGPY,Q,1967-Q1,-1.629790537
DEU,QGDP,TOT,PC_CHGPY,Q,1967-Q2,-2.237879279
DEU,QGDP,TOT,PC_CHGPY,Q,1967-Q3,0
DEU,QGDP,TOT,PC_CHGPY,Q,1967-Q4,2.892640581
DEU,QGDP,TOT,PC_CHGPY,Q,1968-Q1,4.617508884
DEU,QGDP,TOT,PC_CHGPY,Q,1968-Q2,5.761267217
DEU,QGDP,TOT,PC_CHGPY,Q,1968-Q3,5.534700242
DEU,QGDP,TOT,PC_CHGPY,Q,1968-Q4,5.767579384
DEU,QGDP,TOT,PC_CHGPY,Q,1969-Q1,7.174887892
DEU,QGDP,TOT,PC_CHGPY,Q,1969-Q2,7.71280633
DEU,QGDP,TOT,PC_CHGPY,Q,1969-Q3,7.663339108
DEU,QGDP,TOT,PC_CHGPY,Q,1969-Q4,7.692303547
DEU,QGDP,TOT,PC_CHGPY,Q,1970-Q1,3.372586353
DEU,QGDP,TOT,PC_CHGPY,Q,1970-Q2,6.120867916
DEU,QGDP,TOT,PC_CHGPY,Q,1970-Q3,5.82953727
DEU,QGDP,TOT,PC_CHGPY,Q,1970-Q4,5.111265622
DEU,QGDP,TOT,PC_CHGPY,Q,1971-Q1,4.763644266
DEU,QGDP,TOT,PC_CHGPY,Q,1971-Q2,2.872243992
DEU,QGDP,TOT,PC_CHGPY,Q,1971-Q3,2.733086207
DEU,QGDP,TOT,PC_CHGPY,Q,1971-Q4,1.783876414
DEU,QGDP,TOT,PC_CHGPY,Q,1972-Q1,3.882471449
DEU,QGDP,TOT,PC_CHGPY,Q,1972-Q2,3.408694186
DEU,QGDP,TOT,PC_CHGPY,Q,1972-Q3,4.024253738
DEU,QGDP,TOT,PC_CHGPY,Q,1972-Q4,5.729688259
DEU,QGDP,TOT,PC_CHGPY,Q,1973-Q1,7.083373504
DEU,QGDP,TOT,PC_CHGPY,Q,1973-Q2,6.141301924
DEU,QGDP,TOT,PC_CHGPY,Q,1973-Q3,4.058740116
DEU,QGDP,TOT,PC_CHGPY,Q,1973-Q4,2.721523921
DEU,QGDP,TOT,PC_CHGPY,Q,1974-Q1,2.177398816
DEU,QGDP,TOT,PC_CHGPY,Q,1974-Q2,1.349933281
DEU,QGDP,TOT,PC_CHGPY,Q,1974-Q3,1.018885974
DEU,QGDP,TOT,PC_CHGPY,Q,1974-Q4,-0.504300806
DEU,QGDP,TOT,PC_CHGPY,Q,1975-Q1,-1.907951274
DEU,QGDP,TOT,PC_CHGPY,Q,1975-Q2,-2.325179236
DEU,QGDP,TOT,PC_CHGPY,Q,1975-Q3,-1.262668305
DEU,QGDP,TOT,PC_CHGPY,Q,1975-Q4,1.965095402
DEU,QGDP,TOT,PC_CHGPY,Q,1976-Q1,3.478330696
DEU,QGDP,TOT,PC_CHGPY,Q,1976-Q2,5.545306249
DEU,QGDP,TOT,PC_CHGPY,Q,1976-Q3,4.440716158
DEU,QGDP,TOT,PC_CHGPY,Q,1976-Q4,4.324485654
